Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,BID OPRK,ASK OPRK,BID UN/OV,ASK UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWBE,CCPWMAX,I/OTM,THETA,BID IMPLIE,ASK IMPLIE,VOLFADJ,Forecast PrtbStrk,Bid Prbstrk,Ask Prbstrk,PctDble,Margin,YLDMGN,MXMGN,ROBUY,ROWRITE,ROCCMP,GAMMA,VEGA,RHO,TimPrPct,BID/ASKPcnt,date_run,day,week,diff_today,next_exp,diff_exp
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,21,AAL   210716C00021000,1625,2021-07-16,2650,116,3.45,3.8,3.65,87,3,3,-29.4,17,461,61.3,-52.7,3,20.87,10,5.3,14.2,0.6,13.65,-0.92,30.8,51.1,43.7,84,92,80,16.3,20,2.9,70.9,205212,232989,156645,150.02,176.16,206.98,0.005,0.092,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,22,AAL   210716C00022000,1626,2021-07-16,5984,347,2.8,2.97,2.73,77,4,3,8,26,444,72,-55.4,2,21.52,16,18.9,11.5,2.2,9.54,-1.36,40.6,47.4,37.6,79,77,74,13.9,20,10.1,57.6,229794,305105,68233,198.85,250.85,187.85,0.02,0.057,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,23,AAL   210716C00023000,1627,2021-07-16,13354,8005,2.13,2.29,1.91,68,4,3,22.2,37.9,456,85.6,-60.1,2,22.19,20,31,8.8,3.7,5.43,-1.6,41.3,46.7,33.8,69,66,64,11.7,20,16.9,43.8,259601,322341,48566,237.78,299.74,167.89,0.033,0.07,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,24,AAL   210716C00024000,1628,2021-07-16,9673,516,1.67,1.7,1.26,57,5,3,39.2,42.1,483,98.8,-63.3,2,22.65,26,50.6,6.9,6,1.32,-1.78,44.8,45.7,32.1,56,54,54,10.1,20,28,34.3,269103,335702,33010,253.09,327.87,143.46,0.056,0.018,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,25,AAL   210716C00025000,1629,2021-07-16,26270,2939,1.23,1.25,0.81,47,5,3,39.7,41.5,546,115.2,-67,2,23.09,32,45.2,5.1,8.3,-2.8,-1.8,45.2,45.8,32.4,41,43,44,8.7,17.2,29.6,29.4,267793,335947,32688,254.48,331.81,118.93,0.051,0.016,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,26,AAL   210716C00026000,1630,2021-07-16,4063,1752,0.88,0.92,0.54,37,5,3,32.4,36.1,643,132.5,-70,2,23.44,40,31.9,3.6,10.9,-6.91,-1.73,45.4,46.7,34.3,29,34,34,7.5,13.09,27.8,27.6,255349,331163,38278,239.11,315.3,95.54,0.036,0.043,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,27,AAL   210716C00027000,1631,2021-07-16,3669,605,0.63,0.67,0.4,29,4,3,22.4,26.1,775,149.8,-72.4,2,23.69,50,22.6,2.6,14,-11.02,-1.58,46.1,47.5,37.6,21,26,26,6.7,10,26.1,25.9,230036,322554,48327,212.69,285.02,74.99,0.026,0.06,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,28,AAL   210716C00028000,1632,2021-07-16,6115,505,0.46,0.47,0.34,22,4,3,12,13,946,167.6,-74.5,2,23.86,61,16.4,1.9,17.4,-15.13,-1.39,47.3,47.7,42.2,17,20,20,6,10,19.1,18.9,193565,310528,62048,181.93,247.56,57.73,0.019,0.021,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,29,AAL   210716C00029000,1633,2021-07-16,5797,1206,0.35,0.38,0.32,18,4,3,3,5.9,1098,173.9,-74.8,2,23.97,73,12.4,1.4,21,-19.24,-1.27,49.1,50.5,47.7,14,15,16,5.8,10,14.6,14.4,172721,297567,77163,151.18,215.77,46.06,0.014,0.079,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,30,AAL   210716C00030000,1634,2021-07-16,14115,2979,0.26,0.27,0.32,13,4,3,-6.4,-5.4,1323,189.2,-76.2,3,24.06,86,9.2,1.1,24.7,-23.36,-1.08,50.4,50.9,53.8,13,11,12,5.3,10,10.9,10.7,138917,281282,96966,124.15,180.17,35.22,0.011,0.037,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,33,AAL   210716C00033000,1635,2021-07-16,2848,1,0.13,0.15,0.37,7,3,3,-22.3,-19.9,1829,199.1,-76.2,3,24.19,123,4.6,0.5,36.4,-35.69,-0.76,55.7,57.5,71.8,11,6,6,5,10,5.6,5.3,97543,248447,137946,70.42,114.21,18.91,0.005,0.133,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,C,35,AAL   210716C00035000,1636,2021-07-16,4738,7,0.09,0.11,0.32,5,3,3,-24,-21.1,1987,198.8,-75.7,3,24.23,137,3.2,0.4,44.4,-43.91,-0.62,59.4,61.7,78.2,9,4,4,5,10,3.9,3.7,94275,244826,142437,50.23,87.15,13.37,0.004,0.182,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,3,AAL   210716P00003000,1719,2021-07-16,49432,0,0,0.07,0,0,0,3,-100,61.2,3520,-100,-100,3,3.01,0,1.8,87.9,0.2,-87.66,0,0,306.5,190.1,0,0,2,-10,10,0.2,0,275011,999999,302238,0.01,0.04,0,0,1,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,5,AAL   210716P00005000,1720,2021-07-16,22971,0,0,0.06,0,0,0,3,-100,43.8,2903,-100,-100,3,5.01,0,1.8,79.6,0.2,-79.44,0,0,225.4,156.8,0,0,2,-10,10,0.2,0,221730,999999,267130,0.01,0.03,0,0,1,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,6,AAL   210716P00006000,1721,2021-07-16,6870,0,0,0.01,0,0,0,3,-100,9.3,2683,-100,-100,3,6.01,0,1.8,75.5,0.2,-75.33,0,0,158.4,144.9,0,0,0,-10,10,0.2,0,95570,999999,168262,0,0,0,0,1,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,8,AAL   210716P00008000,1722,2021-07-16,7829,0,0,0.03,0.01,0,0,3,-100,15.2,2336,-100,-100,3,8.02,0,1.8,67.3,0.2,-67.11,0,0,145.2,126.1,1,0,1,-10,10,0.2,0,114835,999999,187324,0,0.01,0,0,1,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,9,AAL   210716P00009000,1723,2021-07-16,4546,0,0,0.03,0.01,0,0,3,-100,10.4,2193,-100,-100,3,9.02,0,1.8,63.2,0.2,-62.99,0,0,130.7,118.4,1,0,1,-10,10,0.2,0,98833,999999,171684,0.01,0.01,0,0,1,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,10,AAL   210716P00010000,1724,2021-07-16,22454,20,0.01,0.03,0.02,1,3,2,-7.9,5.6,1508,-56.7,89.2,3,10.01,1,2.6,59.1,0.3,-58.88,-0.17,102.7,117.8,111.6,1,1,1,11.2,10,0.6,0.4,83824,170429,155737,4.16,13.12,-1.79,0,0.667,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,11,AAL   210716P00011000,1725,2021-07-16,3482,0,0.01,0.03,0.03,1,3,2,-12.3,0.7,1612,-60.2,105.1,3,11.01,1,2.5,55,0.3,-54.77,-0.17,92.4,106.1,105.4,1,1,1,9.5,10,0.6,0.4,69502,159728,139696,5.07,14.43,-1.97,0,0.667,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,12,AAL   210716P00012000,1726,2021-07-16,4676,20,0,0.03,0.04,0,0,2,-100,-4.3,1846,-100,-100,3,12.03,0,1.8,50.9,0.2,-50.66,0,0,95.4,99.7,2,0,2,-10,10,0.2,0,56528,999999,124053,0.02,0.02,0,0,1,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,15,AAL   210716P00015000,1727,2021-07-16,5275,700,0.04,0.05,0.11,2,3,2,-16.7,-13.6,1849,-64.4,170.2,3,14.99,3,4,38.7,0.5,-38.32,-0.32,71,73.6,85.1,5,2,3,5.9,10,1.9,1.6,35708,148968,96217,18.46,38.23,-5.89,0.002,0.2,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,16,AAL   210716P00016000,1728,2021-07-16,2642,27,0.06,0.07,0.15,3,3,2,-17.1,-14.8,1779,-65.1,172.4,3,15.97,4,5,34.7,0.6,-34.21,-0.41,67.1,69,80.9,6,3,4,5.8,10,2.7,2.5,33531,147788,92834,27.09,52.78,-8.63,0.002,0.143,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,17,AAL   210716P00017000,1729,2021-07-16,8104,8,0.08,0.09,0.22,4,3,1,-20.7,-18.8,1798,-66.8,181.8,2,16.96,5,5.8,30.6,0.7,-30.1,-0.49,62,63.4,78.1,9,5,5,5.5,10,3.5,3.3,27041,139396,81956,37.95,68.19,-11.73,0.003,0.111,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,20,AAL   210716P00020000,1730,2021-07-16,8379,160,0.26,0.27,0.26,12,3,2,-0.5,0.7,1143,-67.4,170.4,3,19.78,11,13,19,1.5,-17.76,-0.97,51.7,52.3,51.9,13,13,14,5.9,10,10.9,10.7,69534,189169,139727,109.23,162.7,-36.26,0.011,0.037,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,21,AAL   210716P00021000,1731,2021-07-16,7725,297,0.4,0.42,0.29,17,3,3,13.2,15.3,891,-65.8,154.4,3,20.64,14,18.3,15.5,2.2,-13.65,-1.2,49.4,50.4,43.7,16,19,19,6.5,10,16.7,16.4,115438,223395,187849,147.66,211.13,-53.5,0.016,0.048,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,22,AAL   210716P00022000,1732,2021-07-16,10241,2722,0.6,0.63,0.36,24,4,3,25.6,28.7,706,-64.1,138.6,3,21.45,17,25.6,12.2,3,-9.54,-1.41,47.3,48.4,37.6,21,26,27,7.2,10.46,23.8,23.6,165370,254184,227972,189.45,259.67,-76.09,0.025,0.048,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,23,AAL   210716P00023000,1733,2021-07-16,5399,221,0.9,0.93,0.54,33,4,3,35.8,38.7,570,-61.4,120.6,3,22.15,21,36.3,9.3,4.3,-5.43,-1.59,45.9,46.9,33.8,31,36,36,8.3,14.57,25.6,25.4,203958,275991,255011,226.92,301.9,-105.02,0.037,0.032,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,24,AAL   210716P00024000,1734,2021-07-16,2791,180,1.17,1.37,0.89,43,4,3,26.9,45.9,500,-59.8,108.1,3,22.88,26,45.3,6.3,5.3,-1.32,-1.61,40.8,46.9,32.1,44,46,46,9.3,18.68,26,25.7,229050,257309,272014,260.99,327.83,-138.08,0.048,0.146,2021-06-04,6,29,42,2021-08-20,35
American Airlines Group Inc,0,3,4,^,55.8,Air Transport,24.32,47.5,AAL,P,25,AAL   210716P00025000,1735,2021-07-16,12652,175,1.62,1.96,1.43,54,3,3,17.5,49.2,440,-56,90.8,3,23.43,32,35.9,3.9,7.1,2.8,-1.59,38,48.3,32.4,59,58,56,11,20,19.5,33.3,239902,234336,279110,268.06,331.42,-175.53,0.039,0.173,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,100,AAPL  210716C00100000,2264,2021-07-16,4188,180,26.05,26.2,26.52,100,3,1,-100,-27.8,378,48.3,-48.1,0,99.89,0,0.8,20.8,0.1,20.66,-0.48,0,30.6,42.4,95,100,99,20.7,20,0.2,103.3,8138,18790,234946,0.04,0.08,1175.62,0,0.006,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,110,AAPL  210716C00110000,2265,2021-07-16,4065,20265,16.35,16.45,17.03,95,3,1,-31.4,-24.9,449,75.4,-64.3,2,109.59,3,3.1,13.1,0.4,12.73,-1.79,23.8,26.1,34.7,88,95,94,13.3,20,1.4,64.9,10395,132004,74541,119.89,443.92,1216.76,0.002,0.006,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,115,AAPL  210716C00115000,2266,2021-07-16,16418,787,11.7,11.85,12.37,88,3,1,-23.8,-17.8,485,102.2,-74.5,2,114.24,6,5.6,9.4,0.7,8.76,-2.79,22.6,24.4,29.6,82,88,87,9.8,20,2.8,46.4,16645,154443,47464,242.8,846.09,1172.5,0.005,0.013,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,120,AAPL  210716C00120000,2267,2021-07-16,37706,12651,7.55,7.65,8.14,76,3,1,-16.3,-13.4,559,148.5,-84.1,2,118.39,12,11.5,6.1,1.4,4.79,-3.89,21.7,22.5,25.9,71,75,74,6.7,20,6.2,30,20658,162383,29810,411.12,1348.78,1036.13,0.012,0.013,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,125,AAPL  210716C00125000,2268,2021-07-16,64946,12663,4.25,4.3,4.8,57,3,1,-13.3,-12.1,724,230.1,-91,2,121.69,20,23.1,3.5,2.7,0.83,-4.53,21.1,21.4,24.3,55,55,55,4.3,20,12.9,16.9,21996,165851,25049,539.51,1701.83,790.12,0.025,0.012,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,130,AAPL  210716C00130000,2269,2021-07-16,87275,17151,2.04,2.07,2.72,35,3,1,-16.7,-16,1079,373.5,-95.2,2,123.9,30,14.7,1.7,4.9,-3.14,-4.09,20.7,20.9,24.9,36,34,34,2.7,16.86,9.8,9.6,18301,161931,30624,519.71,1605.86,498.18,0.016,0.014,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,135,AAPL  210716C00135000,2270,2021-07-16,102167,31323,0.89,0.9,1.67,19,3,1,-22.6,-22.3,1722,586.3,-97.2,2,125.05,41,6.7,0.8,8,-7.11,-2.95,21.1,21.1,27.2,24,18,18,1.7,12.89,5.7,5.5,12559,155636,43992,369.2,1156.89,264.74,0.007,0.011,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,140,AAPL  210716C00140000,2271,2021-07-16,74422,4674,0.39,0.4,1.21,9,3,1,-28.5,-28,2626,822.8,-97.9,2,125.55,52,3.3,0.4,11.5,-11.08,-1.88,22,22.2,30.8,16,8,9,1.2,10,3.3,3.1,7996,134269,63251,217.09,712.19,131.36,0.003,0.025,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,145,AAPL  210716C00145000,2272,2021-07-16,42277,11620,0.2,0.21,0.98,5,3,1,-31.9,-31.3,3435,965,-97.9,2,125.74,61,2,0.2,15.3,-15.04,-1.25,23.8,24,34.9,12,4,5,1,10,1.8,1.6,6107,131661,76642,124.06,439.85,70.45,0.002,0.048,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,150,AAPL  210716C00150000,2273,2021-07-16,34385,1682,0.12,0.13,0.82,3,3,1,-32.9,-32,3924,1000.5,-97.6,3,125.82,69,1.5,0.2,19.2,-19.01,-0.9,25.9,26.2,38.6,10,3,3,1,10,1.2,1,5737,130941,81112,75.23,291.12,42.45,0.001,0.077,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,155,AAPL  210716C00155000,2274,2021-07-16,20944,946,0.08,0.09,0.62,2,3,1,-31.1,-29.9,4056,976.6,-97.1,2,125.86,74,1.2,0.1,23.1,-22.98,-0.69,28.1,28.6,40.8,7,2,2,1,10,0.8,0.6,6840,132246,73123,48.77,205.32,27.98,0.001,0.111,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,160,AAPL  210716C00160000,2275,2021-07-16,14074,88,0.06,0.07,0.46,1,3,1,-28.4,-27,3961,906.7,-96.5,2,125.88,78,1.1,0.1,27.1,-26.94,-0.57,30.5,31.1,42.6,5,1,1,1.1,10,0.7,0.5,8812,134325,62987,34.3,157,20.42,0,0.143,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,165,AAPL  210716C00165000,2276,2021-07-16,5689,79,0.05,0.06,0.35,1,3,1,-25.6,-23.9,3754,815.6,-95.6,2,125.89,81,1,0.1,31,-30.91,-0.51,33.1,33.9,44.5,4,1,1,1.2,10,0.6,0.4,11179,136781,53192,26.06,129.51,16.31,0,0.167,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,170,AAPL  210716C00170000,2277,2021-07-16,6142,44,0.03,0.05,0.27,1,3,1,-26.2,-21.7,3799,791.3,-95.4,2,125.91,85,0.9,0.1,35,-34.88,-0.39,34.1,36.2,46.3,3,1,1,1.3,10,0.4,0.2,13090,136214,55234,18.25,95.32,11.48,0,0.4,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,175,AAPL  210716C00175000,2278,2021-07-16,11611,163,0.02,0.04,0.22,1,3,1,-26.1,-20.4,3814,762.9,-95.2,2,125.92,88,0.8,0.1,38.9,-38.85,-0.31,35.5,38.2,48,2,0,1,1.3,10,0.4,0.2,14305,136308,54889,13.13,71.85,8.33,0,0.5,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,180,AAPL  210716C00180000,2279,2021-07-16,3894,30,0.02,0.03,0.17,0,3,1,-23.2,-19.9,3809,733.4,-94.4,2,125.92,92,0.8,0.1,42.9,-42.81,-0.28,38.1,39.8,49.7,2,0,0,1.4,10,0.4,0.2,14659,155000,45759,10.48,60.61,6.87,0,0.333,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,185,AAPL  210716C00185000,2280,2021-07-16,5086,76,0.01,0.02,0.14,0,3,1,-25.7,-20.7,4137,775.5,-95,2,125.93,95,0.8,0.1,46.9,-46.78,-0.18,38.1,40.7,51.3,1,0,0,1.3,10,0.3,0.1,14045,136697,53423,6.56,38.42,4.14,0,0.5,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,190,AAPL  210716C00190000,2281,2021-07-16,5011,24,0.01,0.03,0.12,0,3,1,-23.5,-14.9,3347,589.1,-93.9,2,125.93,98,0.8,0.1,50.8,-50.75,-0.22,40.5,45,52.9,1,0,0,1.7,10,0.3,0.1,19232,154789,46429,6.84,43.44,4.72,0,0.667,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,200,AAPL  210716C00200000,2282,2021-07-16,10769,154,0.01,0.02,0.08,0,3,1,-19.6,-14.3,3419,567.2,-92.3,2,125.93,103,0.8,0.1,58.8,-58.68,-0.18,45,48,56,1,0,0,1.8,10,0.3,0.1,19737,158673,36667,4.88,33.67,3.55,0,0.5,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,C,220,AAPL  210716C00220000,2283,2021-07-16,6571,4,0,0.01,0.05,0,0,1,-100,-13.7,1142,-100,-100,0,125.94,114,0.7,0.1,74.6,-74.55,0,0,53.2,61.7,0,0,0,-10,10,0.2,0,20395,999999,999999,0,0,0,0,1,2021-06-04,6,29,42,2021-08-20,35
Apple Inc,0.7,1,2,"",30.3,Computers/Peripherals,126.04,28,AAPL,P,85,AAPL  210716P00085000,2589,2021-07-16,2489,14,0.07,0.09,0.09,1,4,3,-2.9,0.4,2095,-80.5,353.8,1,85.11,1,2.5,32.8,0.3,-32.56,-0.68,50.6,52.3,52.1,1,1,1,2.8,10,0.8,0.6,243826,292211,25593,15.08,115.13,-15.75,0.001,0.222,2021-06-04,6,29,42,2021-08-20,35
